IMG_acc	Genbank_acc	Locus_tag	Locus_tag_orig	Strain_name	Strain_name_orig	Phylotype	SDP	Species	Host	Study	Origin	Ref
	NZ_JACFOR	H3S85		M0187		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFOX	H3S89		B10834G6		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFON	H3S90		W8097		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFOL	H3S98		B10834H15		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRR	H3U94		W8125		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSQ	H3V12		W8167		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSJ	H3V13		M0280		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSN	H3V16		W8099		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFSK	H3V17		M0283		Bartonella	bapis	Bartonella apis	Apis mellifera	"Wu, J. and Zheng, H."	China	No
NA	LXYU	PEB0122		PEB0122		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"USA, West Haven"	No
NA	LXYT	PEB0149		PEB0149		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"USA, West Haven"	No
NA	LXYS	PEB0150		PEB0150		Bartonella	bapis	Bartonella apis	Apis mellifera	Segers et al. (2017)	"USA, West Haven"	No
2645727657	NZ_CP011786	Ga0098206	AB656	DSM 22766		Bifido	bifido_bombus	Bifidobacterium actinocoloniiforme	Bumblebee digestive tract	Chen et al. (2015)	Unknown	No
2600255079	ATLK01000001	Ga0056940	BBOMB	DSM 19703		Bifido	bifido_bombus	Bifidobacterium bombi	Bumblebee?	Milani et al. (2014)	Unknown	No
2597490239	JGYP01000001	Ga0057557	BBOH	DSM 22767		Bifido	bifido_bombus	Bifidobacterium bohemicum	Bumblebee digestive tract	Milani et al. (2014)	Unknown	No
2684622916	QGLH00000000	Ga0133549		ESL0170		Bifido	bifido_1.3	Bifidobacterium asteroides	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2684622918	QGLJ00000000	Ga0133551		ESL0198		Bifido	bifido_1.4	Bifidobacterium asteroides	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2684622919	QGLK00000000	Ga0133552		ESL0199		Bifido	bifido_1.4	Bifidobacterium asteroides	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	No
2684622920	QGLL00000000	Ga0133553		ESL0200		Bifido	bifido_1.5	Bifidobacterium asteroides	Apis mellifera	Ellegaard_Engel (2018)	"Switzerland, Engel apiary"	Yes
2630968953	JWME00000000.1	Ga0072395	JF69	Bin2		Bifido	bifido_1.1	Bifidobacterium asteroides	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland"	No
2645727966	JWMF00000000.1	Ga0072396	JF70	Bin7		Bifido	bifido_1.2	Bifidobacterium asteroides	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland"	
2651869778	JXJS00000000.1	Ga0072401	JF71	Hma3		Bifido	bifido_1.4	Bifidobacterium asteroides	Apis mellifera	Ellegaard et al. (2015)	"Sweden, Jamtland"	No
NA	CP003325.1	BAST		PRL2011		Bifido	bifido_1.3	Bifidobacterium asteroides	Apis mellifera	Bottacini et al. (2012)	"""honeybee hindgut"""	Yes
2808606957	NA	Ga0312305		ESL0447		Bifido	bifido_1_cerana	Bifidobacterium asteroides	Apis cerana	Ellegaard et al. (2020)	"Japan, Tsukuba"	Yes
	NZ_JACFPC	H3S92		W8130		Bifido	bifido_1.3	Bifidobacterium asteroides	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFPA	H3S93		W8109		Bifido	bifido_1.3	Bifidobacterium asteroides	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFRA	H3T89		W8114		Bifido	bifido_1.3	Bifidobacterium	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFPL	H3S97		B14384H11		Bifido	bifido_1.2	Bifidobacterium choladohabitans	Apis mellifera	"Wu, J. and Zheng, H."	China	No
	NZ_JACFQF	H3T81		M0109		Bifido	bifido_1.1	Bifidobacterium apousia	Apis mellifera	"Wu, J. and Zheng, H."	China	No
